cardholder_id,Recency,Frequency,Monetary
252_1,35,2,5430.0
253_1,35,2,1140.0
254_1,31,3,6160.0
255_1,43,1,1080.0
256_1,38,1,2860.0
257_1,32,1,440.0
258_1,47,1,2520.0
259_1,38,1,2883.0
260_1,39,1,880.0
261_1,48,2,820.0
262_1,47,1,1190.0
263_1,48,1,730.0
264_1,33,1,2080.0
265_1,32,1,770.0
266_1,31,2,1220.0
267_1,41,3,2030.0
268_1,39,1,1290.0
269_1,46,1,1710.0
270_1,32,1,663.0
271_1,29,1,180.0
272_1,35,1,810.0
273_1,42,1,1570.0
274_1,43,1,1190.0
275_1,36,4,2496.0
276_1,45,2,2898.0
277_1,40,2,240.0
278_1,35,1,1120.0
279_1,33,1,960.0
280_1,46,1,1120.0
281_1,48,1,500.0
282_1,33,1,2830.0
283_1,29,1,990.0
284_1,31,3,5708.0
285_1,46,1,465.0
286_1,35,1,700.0
287_1,38,1,760.0
288_1,39,1,1810.0
289_1,30,1,490.0
290_1,34,1,600.0
291_1,34,2,1030.0
292_1,32,1,890.0
293_1,45,1,280.0
294_1,35,1,470.0
295_1,39,2,1240.0
296_1,43,2,1620.0
297_1,44,1,1020.0
298_1,35,3,1950.0
299_1,30,1,1370.0
300_1,38,1,2150.0
301_1,30,1,1500.0
302_1,41,1,780.0
303_1,39,1,2210.0
304_1,38,2,920.0
305_1,35,1,240.0
306_1,46,1,1101.0
307_1,33,1,1790.0
308_1,33,1,870.0
309_1,33,1,1240.0
310_1,41,1,1266.0
311_1,35,1,990.0
312_1,32,1,350.0
313_1,38,1,1410.0
314_1,29,1,902.0
315_1,38,1,2464.0
316_1,30,1,2300.0
317_1,40,1,1148.0
318_1,48,1,320.0
319_1,46,1,1580.0
320_1,34,2,2340.0
321_1,35,1,907.0
322_1,41,1,450.0
323_1,38,2,3340.0
324_1,43,1,880.0
325_1,44,1,3330.0
326_1,46,1,1440.0
327_1,31,2,4554.0
328_1,36,2,4010.0
329_1,33,3,8960.0
330_1,37,2,1450.0
331_1,39,1,3806.0
332_1,42,1,490.0
333_1,37,1,490.0
334_1,32,1,2040.0
335_1,46,2,3030.0
336_1,32,1,620.0
337_1,39,1,1670.0
338_1,38,1,2230.0
339_1,34,2,1630.0
340_1,39,2,1310.0
341_1,38,1,1640.0
342_1,42,1,659.0
343_1,33,1,1120.0
344_1,46,2,1270.0
345_1,41,2,1430.0
346_1,45,1,590.0
347_1,29,1,290.0
348_1,32,1,810.0
349_1,31,1,280.0
350_1,31,1,1548.0
351_1,35,1,290.0
352_1,29,2,2320.0
353_1,33,1,1538.0
354_1,43,1,2050.0
355_1,46,1,560.0
356_1,40,1,700.0
357_1,32,1,1950.0
358_1,41,1,450.0
359_1,37,1,2150.0
360_1,46,1,1460.0
361_1,45,1,2280.0
362_1,32,1,1140.0
363_1,31,2,1110.0
364_1,42,1,1800.0
