cardholder_id,Recency,Frequency,Monetary
0_4,18,2,1660.0
1_4,20,3,3150.0
2_4,18,1,1584.0
3_4,28,2,2600.0
4_4,18,1,2110.0
5_4,23,2,1650.0
6_4,22,1,910.0
7_4,24,2,800.0
8_4,18,5,2370.0
9_4,23,1,770.0
10_4,21,2,1210.0
11_4,19,3,1700.0
12_4,17,1,2255.0
13_4,17,2,1810.0
14_4,24,1,1000.0
15_4,15,5,3310.0
16_4,20,2,1530.0
17_4,14,3,2983.0
18_4,23,2,3336.0
19_4,13,1,520.0
20_4,14,1,790.0
21_4,13,1,1310.0
22_4,18,2,2970.0
23_4,23,2,3608.0
24_4,21,4,2130.0
25_4,18,2,5540.0
26_4,16,2,2790.0
27_4,29,5,3130.0
28_4,23,2,4730.0
29_4,22,3,3240.0
30_4,16,4,5629.0
31_4,25,2,1320.0
32_4,21,6,5120.0
33_4,18,1,3444.0
34_4,17,3,2278.0
35_4,16,1,490.0
36_4,24,3,3310.0
37_4,21,1,1580.0
38_4,20,1,979.0
39_4,26,3,2100.0
40_4,26,2,3751.0
41_4,14,2,3569.0
42_4,23,4,3580.0
43_4,18,2,2680.0
44_4,27,1,1945.0
45_4,23,1,2210.0
46_4,18,1,1230.0
47_4,28,2,1200.0
48_4,20,1,2980.0
49_4,21,3,2480.0
50_4,24,1,2410.0
51_4,14,2,5040.0
52_4,21,2,1930.0
53_4,13,1,1460.0
54_4,21,1,910.0
55_4,21,1,270.0
56_4,22,3,2170.0
57_4,24,2,2860.0
58_4,20,3,1960.0
59_4,27,1,500.0
60_4,27,2,2310.0
61_4,13,1,2750.0
62_4,18,1,1350.0
63_4,24,1,1450.0
64_4,17,1,170.0
65_4,19,2,1619.0
66_4,23,2,1570.0
67_4,16,1,2450.0
68_4,24,3,2440.0
69_4,18,3,5940.0
70_4,14,2,410.0
71_4,14,1,1340.0
72_4,24,1,240.0
73_4,14,2,3880.0
74_4,14,2,1750.0
75_4,20,1,1180.0
76_4,22,2,1600.0
77_4,15,1,1250.0
78_4,27,1,879.0
79_4,17,1,1920.0
80_4,17,1,650.0
81_4,23,1,2090.0
82_4,15,4,2140.0
83_4,18,2,5340.0
84_4,26,1,1420.0
85_4,13,1,3020.0
86_4,23,4,7160.0
87_4,26,2,5720.0
88_4,18,1,1870.0
