cardholder_id,Recency,Frequency,Monetary
0_0,5,9,6865.0
1_0,20,9,11496.0
2_0,7,5,7620.0
3_0,14,9,11471.0
4_0,3,4,6570.0
5_0,11,6,9822.0
6_0,5,4,5669.0
7_0,6,7,5022.0
8_0,3,12,9530.0
9_0,1,13,8700.0
10_0,1,7,4450.0
11_0,1,9,8507.0
12_0,3,9,10500.0
13_0,8,4,6550.0
14_0,3,4,8699.0
15_0,2,3,7150.0
16_0,1,8,10435.0
17_0,10,8,5380.0
18_0,17,5,6363.0
19_0,4,7,4620.0
20_0,4,5,5560.0
21_0,6,11,6470.0
22_0,3,6,4470.0
23_0,10,2,6750.0
24_0,14,5,5010.0
25_0,3,6,4320.0
26_0,1,7,5274.0
27_0,3,3,8643.0
28_0,9,11,7111.0
29_0,5,10,7652.0
30_0,6,5,4630.0
31_0,1,7,8750.0
32_0,8,6,5260.0
33_0,4,6,4280.0
34_0,24,6,9580.0
35_0,1,12,8482.0
36_0,6,3,8376.0
37_0,12,9,5120.0
38_0,2,12,7430.0
39_0,4,11,8218.0
40_0,12,7,6010.0
41_0,6,6,9264.0
42_0,9,10,11610.0
43_0,3,9,10930.0
44_0,7,10,5668.0
45_0,7,12,6326.0
46_0,5,6,6690.0
47_0,1,5,5814.0
48_0,3,5,7780.0
49_0,10,11,10750.0
50_0,7,5,5209.0
51_0,4,9,3440.0
52_0,1,5,5150.0
53_0,8,9,7010.0
54_0,1,8,6170.0
55_0,2,6,4840.0
56_0,7,9,3030.0
57_0,3,3,6879.0
58_0,10,7,7555.0
59_0,8,5,6730.0
60_0,3,10,6348.0
61_0,5,4,7458.0
62_0,1,7,6190.0
63_0,4,7,10780.0
64_0,6,6,8927.0
65_0,13,5,10532.0
66_0,8,5,7034.0
67_0,3,5,7772.0
68_0,2,4,8830.0
69_0,3,7,13600.0
70_0,9,4,8100.0
71_0,1,8,11434.0
72_0,2,12,6890.0
73_0,1,13,8400.0
74_0,10,8,5649.0
75_0,6,7,15872.0
76_0,11,4,9150.0
77_0,5,7,14510.0
78_0,6,8,4208.0
79_0,4,7,4330.0
80_0,3,6,10572.0
81_0,9,5,4669.0
82_0,5,13,9750.0
83_0,1,1,10000.0
84_0,6,7,3490.0
85_0,2,5,4670.0
86_0,4,3,9940.0
87_0,5,7,11730.0
88_0,7,6,8160.0
89_0,4,4,5571.0
90_0,3,6,6970.0
91_0,2,15,3410.0
92_0,4,6,6649.0
93_0,8,3,5970.0
94_0,5,6,7060.0
95_0,8,6,5900.0
96_0,2,9,9716.0
97_0,6,4,6043.0
98_0,4,6,5820.0
99_0,3,6,7740.0
100_0,2,11,7132.0
101_0,3,3,6334.0
102_0,12,5,7087.0
103_0,28,9,5019.0
104_0,2,8,5405.0
105_0,5,8,3662.0
106_0,3,6,6068.0
107_0,4,8,7294.0
108_0,3,7,4780.0
109_0,11,6,8809.0
110_0,8,7,7860.0
111_0,7,10,4690.0
112_0,1,6,7350.0
113_0,11,4,6181.0
114_0,6,5,13266.0
115_0,6,5,7208.0
116_0,2,7,4520.0
117_0,4,6,9789.0
118_0,4,6,6240.0
119_0,1,8,7320.0
120_0,2,5,5280.0
121_0,11,4,5640.0
122_0,1,5,5460.0
123_0,1,11,6080.0
124_0,3,6,8130.0
125_0,11,6,6730.0
126_0,6,10,11192.0
127_0,3,5,13960.0
128_0,7,10,5640.0
129_0,3,4,9324.0
130_0,2,10,7850.0
131_0,12,5,7742.0
132_0,2,15,3870.0
133_0,4,8,7780.0
134_0,1,9,5951.0
135_0,7,3,9527.0
136_0,12,6,8060.0
137_0,6,6,3956.0
138_0,3,8,8810.0
139_0,6,7,3768.0
140_0,5,5,4930.0
141_0,18,7,10160.0
142_0,12,9,5180.0
143_0,23,3,8200.0
144_0,15,5,5710.0
145_0,4,5,5210.0
146_0,3,7,7850.0
147_0,1,12,5427.0
148_0,7,12,5900.0
149_0,18,11,7670.0
150_0,3,14,8000.0
151_0,5,10,4899.0
152_0,4,8,5576.0
153_0,6,5,5540.0
154_0,11,10,7070.0
155_0,2,8,10710.0
156_0,6,4,13460.0
157_0,2,11,5620.0
158_0,4,4,8328.0
159_0,14,11,8670.0
160_0,9,13,9510.0
161_0,2,12,5760.0
162_0,4,6,9680.0
163_0,2,10,3920.0
164_0,1,6,5390.0
165_0,6,6,4660.0
166_0,1,5,5130.0
167_0,2,10,6470.0
168_0,8,7,5850.0
169_0,10,11,8802.0
170_0,12,4,5440.0
171_0,10,6,14363.0
172_0,2,13,9750.0
173_0,2,8,6890.0
174_0,4,2,7780.0
175_0,2,8,10470.0
176_0,13,5,9440.0
177_0,13,6,9876.0
178_0,14,2,7260.0
179_0,1,6,9200.0
180_0,1,13,6490.0
181_0,10,12,8710.0
182_0,2,4,5510.0
183_0,1,8,12940.0
184_0,2,8,5390.0
