cardholder_id,Recency,Frequency,Monetary
0_3,5,4,1760.0
1_3,5,3,2485.0
2_3,2,4,3241.0
3_3,12,5,4370.0
4_3,10,1,1550.0
5_3,2,2,1330.0
6_3,7,2,1500.0
7_3,4,1,1390.0
8_3,7,1,879.0
9_3,4,3,3086.0
10_3,6,2,2090.0
11_3,2,3,2330.0
12_3,9,1,2785.0
13_3,4,4,2720.0
14_3,12,1,570.0
15_3,13,4,3900.0
16_3,3,2,1160.0
17_3,7,1,420.0
18_3,3,1,2310.0
19_3,5,3,4890.0
20_3,5,1,1080.0
21_3,6,1,1520.0
22_3,12,4,4224.0
23_3,2,3,2402.0
24_3,7,1,150.0
25_3,10,1,2000.0
26_3,2,5,2571.0
27_3,5,4,1590.0
28_3,4,2,1600.0
29_3,3,1,2330.0
30_3,5,3,1410.0
31_3,3,2,2770.0
32_3,12,3,3100.0
33_3,13,2,3780.0
34_3,11,2,2787.0
35_3,7,2,2620.0
36_3,2,2,2920.0
37_3,3,1,1890.0
38_3,5,4,4354.0
39_3,12,1,1200.0
40_3,6,2,1770.0
41_3,7,4,2320.0
42_3,5,3,2450.0
43_3,5,1,1730.0
44_3,1,6,3667.0
45_3,3,3,2050.0
46_3,4,4,3200.0
47_3,5,3,1680.0
48_3,10,6,2930.0
49_3,8,1,490.0
50_3,11,1,1820.0
51_3,11,2,2220.0
52_3,10,1,840.0
53_3,5,2,1239.0
54_3,8,4,3860.0
55_3,5,3,4390.0
56_3,3,2,3607.0
57_3,11,2,1500.0
58_3,2,1,3760.0
59_3,10,4,4900.0
60_3,5,1,2620.0
61_3,5,4,2750.0
62_3,4,2,2050.0
63_3,6,5,3108.0
64_3,2,5,3470.0
65_3,7,4,2000.0
66_3,3,3,1200.0
67_3,11,2,980.0
68_3,10,1,2070.0
69_3,7,4,2850.0
70_3,9,1,1380.0
71_3,2,3,2050.0
72_3,6,1,1760.0
73_3,3,1,1110.0
74_3,7,5,3730.0
75_3,4,4,3940.0
76_3,4,2,1350.0
77_3,11,2,1720.0
78_3,2,2,1820.0
79_3,9,3,4010.0
80_3,5,2,3470.0
81_3,11,1,2230.0
82_3,2,1,430.0
83_3,5,3,1920.0
84_3,9,2,2980.0
85_3,5,2,1490.0
86_3,9,1,1253.0
87_3,3,5,3250.0
88_3,6,2,2080.0
89_3,2,4,3230.0
90_3,11,1,140.0
91_3,10,1,480.0
92_3,10,3,2190.0
93_3,7,1,620.0
94_3,4,2,4400.0
95_3,11,3,1410.0
96_3,7,2,930.0
97_3,7,1,1250.0
98_3,3,5,3340.0
99_3,11,3,5440.0
100_3,6,2,1430.0
101_3,5,3,2758.0
102_3,10,3,2526.0
103_3,6,2,2450.0
104_3,6,2,1540.0
105_3,2,1,1935.0
106_3,5,1,1680.0
107_3,12,6,3350.0
108_3,5,5,3480.0
109_3,2,1,630.0
110_3,9,2,2120.0
111_3,7,3,2468.0
112_3,8,6,3060.0
113_3,1,1,2100.0
114_3,4,4,5180.0
115_3,4,1,490.0
116_3,12,4,4432.0
117_3,4,5,2670.0
118_3,11,2,2124.0
119_3,2,1,1460.0
120_3,6,1,1232.0
121_3,4,3,3560.0
122_3,12,3,4230.0
123_3,3,2,2760.0
124_3,11,2,980.0
125_3,10,3,4563.0
126_3,12,5,3905.0
127_3,6,4,3320.0
128_3,3,2,880.0
129_3,3,2,2652.0
130_3,4,1,920.0
131_3,11,4,2430.0
132_3,3,2,1590.0
133_3,6,4,1820.0
134_3,11,1,1314.0
135_3,9,1,780.0
136_3,3,1,750.0
137_3,8,4,3481.0
138_3,2,3,3720.0
139_3,7,3,2170.0
140_3,11,4,4702.0
141_3,6,4,3250.0
142_3,6,4,2840.0
143_3,5,2,4520.0
144_3,3,1,2930.0
145_3,7,2,2220.0
146_3,5,7,3010.0
147_3,6,4,2330.0
148_3,4,1,400.0
149_3,8,2,3490.0
150_3,2,6,3370.0
151_3,4,1,2410.0
152_3,11,1,1200.0
153_3,9,1,540.0
154_3,6,2,3222.0
155_3,4,1,1820.0
156_3,4,1,3020.0
157_3,8,1,3140.0
158_3,4,3,4600.0
159_3,12,1,1210.0
160_3,10,2,3587.0
161_3,10,1,3100.0
162_3,11,2,3056.0
163_3,3,2,5020.0
164_3,5,3,2470.0
165_3,7,3,1290.0
166_3,2,2,2140.0
167_3,11,2,1120.0
168_3,4,3,2630.0
169_3,11,3,3210.0
170_3,11,2,2658.0
171_3,10,1,1200.0
172_3,7,1,3360.0
173_3,12,6,3720.0
174_3,7,3,4712.0
175_3,7,2,3408.0
176_3,10,1,670.0
177_3,7,1,470.0
178_3,10,2,3440.0
179_3,9,5,2040.0
180_3,6,1,1318.0
181_3,2,5,3860.0
182_3,7,1,1130.0
183_3,6,4,4380.0
184_3,8,1,2300.0
185_3,11,1,1480.0
186_3,4,1,720.0
187_3,6,4,2064.0
188_3,3,2,5169.0
189_3,2,2,1010.0
190_3,1,2,950.0
191_3,2,3,4259.0
192_3,2,3,1648.0
193_3,7,4,4785.0
194_3,7,2,4238.0
195_3,11,2,2440.0
196_3,4,2,3399.0
197_3,3,2,3108.0
198_3,4,2,2040.0
199_3,8,3,2271.0
200_3,4,1,1400.0
201_3,5,1,180.0
202_3,12,2,3920.0
203_3,7,1,750.0
204_3,4,2,1810.0
205_3,2,2,1304.0
206_3,3,2,3010.0
207_3,1,2,1637.0
208_3,4,2,1032.0
209_3,7,1,790.0
210_3,4,1,2660.0
211_3,7,3,2240.0
212_3,8,1,737.0
213_3,8,4,3450.0
214_3,7,3,1860.0
215_3,4,4,4419.0
216_3,7,5,2650.0
217_3,6,1,950.0
218_3,3,2,3138.0
219_3,5,3,4602.0
220_3,4,2,1687.0
221_3,12,2,1790.0
222_3,5,2,1650.0
223_3,5,1,510.0
224_3,2,1,582.0
225_3,9,1,600.0
226_3,6,2,2230.0
227_3,1,4,3540.0
228_3,8,4,2939.0
229_3,4,1,1650.0
230_3,4,1,1970.0
231_3,12,4,2610.0
232_3,6,2,2869.0
233_3,3,3,1550.0
234_3,4,3,1820.0
235_3,10,1,3185.0
236_3,9,3,2130.0
237_3,3,1,1280.0
238_3,8,1,490.0
239_3,8,2,900.0
240_3,8,3,2020.0
241_3,5,2,1700.0
242_3,12,2,1470.0
243_3,2,4,5134.0
244_3,3,3,4300.0
245_3,12,1,2200.0
246_3,12,1,430.0
247_3,6,1,1440.0
248_3,2,2,2220.0
249_3,4,1,600.0
250_3,12,1,1188.0
251_3,3,1,2410.0
252_3,1,2,1490.0
253_3,1,4,2770.0
254_3,10,4,2722.0
255_3,4,1,640.0
256_3,6,1,1390.0
257_3,5,5,3628.0
258_3,4,4,3937.0
259_3,11,1,910.0
260_3,8,1,1406.0
261_3,2,2,2030.0
262_3,6,2,1319.0
263_3,11,2,5590.0
264_3,9,2,4170.0
265_3,3,2,3380.0
266_3,5,3,1890.0
267_3,12,5,4140.0
268_3,11,1,440.0
269_3,3,1,1190.0
270_3,10,1,1430.0
271_3,10,1,1420.0
272_3,5,2,1630.0
273_3,11,1,1750.0
274_3,2,1,2590.0
275_3,5,5,4430.0
276_3,2,2,1270.0
277_3,3,6,3476.0
278_3,4,2,5100.0
279_3,2,3,1320.0
280_3,3,2,1200.0
281_3,1,1,2390.0
282_3,5,2,1420.0
283_3,11,7,2490.0
284_3,4,2,850.0
285_3,11,1,1393.0
286_3,6,1,1740.0
287_3,2,1,616.0
288_3,2,6,3470.0
289_3,10,2,3012.0
290_3,3,1,2710.0
291_3,2,2,1220.0
292_3,2,3,2410.0
293_3,13,4,4750.0
294_3,5,1,850.0
295_3,11,4,5020.0
296_3,10,2,3940.0
297_3,8,3,1470.0
298_3,10,2,4060.0
299_3,6,4,2540.0
300_3,2,4,2596.0
301_3,6,3,2696.0
302_3,5,1,780.0
303_3,1,7,2730.0
304_3,11,1,750.0
305_3,10,2,4670.0
306_3,3,1,2410.0
307_3,5,5,2750.0
308_3,7,2,1640.0
309_3,4,1,1390.0
310_3,4,1,1510.0
311_3,3,1,1900.0
312_3,3,4,2836.0
313_3,5,2,1520.0
314_3,10,1,3780.0
315_3,11,3,2220.0
316_3,11,1,1540.0
317_3,11,3,2528.0
318_3,10,2,1620.0
319_3,4,6,3140.0
320_3,2,2,1584.0
321_3,6,3,4409.0
322_3,11,2,1310.0
323_3,4,4,3240.0
324_3,4,1,550.0
325_3,8,1,1630.0
326_3,3,2,3580.0
327_3,7,1,2200.0
328_3,6,1,1020.0
329_3,8,5,4280.0
330_3,1,1,781.0
331_3,2,2,2830.0
332_3,9,3,1430.0
333_3,11,3,3613.0
334_3,5,3,3810.0
335_3,10,1,690.0
336_3,12,4,5268.0
337_3,5,1,891.0
338_3,5,3,2320.0
339_3,1,4,3155.0
340_3,12,1,490.0
341_3,4,1,700.0
342_3,1,4,2890.0
343_3,5,4,3169.0
344_3,3,6,3250.0
345_3,13,2,1990.0
346_3,3,3,2059.0
347_3,11,1,1880.0
348_3,8,1,2230.0
349_3,5,1,1990.0
350_3,4,3,5500.0
351_3,8,2,1740.0
352_3,3,3,5780.0
353_3,1,6,3900.0
354_3,4,4,4356.0
355_3,13,2,3730.0
356_3,11,2,4050.0
357_3,8,1,890.0
358_3,8,4,4530.0
359_3,7,1,1840.0
360_3,3,6,3736.0
361_3,10,3,2080.0
362_3,3,1,890.0
363_3,8,3,4270.0
364_3,11,1,710.0
365_3,10,1,1070.0
366_3,12,1,490.0
367_3,7,7,2570.0
368_3,4,5,2560.0
369_3,8,1,920.0
370_3,3,1,2800.0
371_3,4,2,2740.0
372_3,13,4,4560.0
373_3,11,3,2520.0
374_3,13,4,2180.0
375_3,11,2,670.0
376_3,2,1,2140.0
377_3,3,2,630.0
378_3,9,1,1900.0
379_3,9,1,820.0
380_3,3,1,1560.0
381_3,2,5,2250.0
382_3,1,4,2200.0
383_3,8,2,5516.0
384_3,4,3,2650.0
385_3,4,1,1300.0
386_3,4,4,3280.0
387_3,1,3,4800.0
388_3,1,1,880.0
389_3,5,3,2050.0
390_3,5,6,3076.0
391_3,6,1,960.0
392_3,4,2,2450.0
393_3,4,1,260.0
394_3,13,2,6409.0
395_3,8,2,1280.0
396_3,4,1,750.0
397_3,3,1,750.0
398_3,9,2,2220.0
399_3,13,4,4890.0
400_3,5,1,1293.0
