cardholder_id,Recency,Frequency,Monetary
0_2,4,14,11270.0
1_2,4,13,21455.0
2_2,3,14,9860.0
3_2,4,28,8609.0
4_2,2,34,13660.0
5_2,1,15,8610.0
6_2,1,15,8000.0
7_2,4,15,10457.0
8_2,2,18,10500.0
9_2,2,27,27915.0
10_2,10,15,12363.0
11_2,3,17,6810.0
12_2,1,26,24810.0
13_2,2,15,14620.0
14_2,4,14,11514.0
15_2,1,15,9589.0
16_2,1,35,28830.0
17_2,1,16,21782.0
18_2,3,10,18981.0
19_2,1,14,11690.0
20_2,3,15,10408.0
21_2,4,11,12692.0
22_2,7,11,16060.0
23_2,1,14,10724.0
24_2,1,20,12680.0
25_2,7,13,23382.0
26_2,3,17,12970.0
27_2,2,26,9720.0
28_2,2,8,18136.0
29_2,2,38,27759.0
30_2,2,6,22143.0
31_2,7,15,15865.0
32_2,2,14,20080.0
33_2,1,13,10570.0
34_2,1,16,9020.0
35_2,4,16,10450.0
36_2,25,17,9990.0
37_2,3,27,13111.0
38_2,4,13,17822.0
39_2,6,15,9022.0
40_2,4,21,12701.0
41_2,4,14,12860.0
42_2,1,32,18236.0
43_2,5,23,14590.0
44_2,3,11,17248.0
45_2,1,33,14080.0
46_2,1,27,11600.0
47_2,2,16,8940.0
48_2,2,23,10460.0
49_2,3,19,12520.0
50_2,1,16,10620.0
51_2,6,10,34810.0
52_2,1,14,11295.0
53_2,4,17,12148.0
54_2,4,9,21392.0
55_2,3,11,13242.0
56_2,2,15,10147.0
57_2,5,11,14530.0
58_2,8,11,14077.0
59_2,4,37,32054.0
60_2,4,12,15391.0
61_2,18,8,22163.0
62_2,2,18,14860.0
63_2,1,14,9490.0
64_2,4,12,16641.0
65_2,2,16,12230.0
66_2,2,27,15020.0
67_2,20,16,20122.0
68_2,3,13,10570.0
69_2,5,19,7640.0
70_2,2,17,5870.0
71_2,9,12,11540.0
72_2,3,16,8802.0
73_2,2,19,9160.0
74_2,8,14,9409.0
75_2,1,21,13060.0
76_2,2,21,9660.0
77_2,2,16,12002.0
78_2,2,23,11340.0
79_2,6,34,25937.0
80_2,3,28,15803.0
81_2,2,15,7910.0
82_2,2,21,8820.0
83_2,2,14,11338.0
84_2,6,20,12010.0
85_2,2,17,8420.0
86_2,3,23,10420.0
87_2,1,24,31890.0
88_2,8,22,11730.0
89_2,2,17,9965.0
90_2,2,28,9920.0
91_2,4,9,18640.0
92_2,7,10,16171.0
93_2,4,20,8714.0
94_2,2,13,13820.0
95_2,2,17,10000.0
96_2,6,21,7330.0
97_2,6,16,9660.0
98_2,4,16,17055.0
99_2,6,14,9721.0
100_2,6,16,10200.0
101_2,2,21,4236.0
102_2,3,18,13530.0
103_2,1,17,9960.0
104_2,2,20,17991.0
105_2,5,12,11290.0
106_2,1,41,15651.0
107_2,1,18,7240.0
108_2,18,21,10530.0
109_2,2,20,10350.0
110_2,3,21,19381.0
111_2,4,28,14630.0
112_2,11,16,7955.0
113_2,1,13,14269.0
114_2,2,15,10837.0
115_2,2,12,12496.0
116_2,3,11,12690.0
117_2,6,11,16894.0
118_2,3,19,11467.0
119_2,2,23,14919.0
120_2,1,30,19840.0
121_2,5,17,8638.0
122_2,3,11,13860.0
123_2,3,16,7310.0
124_2,6,12,14950.0
125_2,2,31,14630.0
126_2,1,21,15347.0
127_2,2,41,11850.0
128_2,1,48,46000.0
129_2,3,10,14278.0
130_2,2,15,7515.0
131_2,5,20,14506.0
132_2,4,14,9330.0
133_2,1,13,13231.0
134_2,2,8,17210.0
135_2,5,23,8980.0
136_2,3,15,8235.0
137_2,1,16,11159.0
138_2,10,17,14540.0
139_2,4,23,20920.0
140_2,1,14,9680.0
141_2,2,36,10654.0
142_2,1,24,13240.0
143_2,2,16,16741.0
144_2,3,6,20390.0
145_2,1,23,14350.0
146_2,22,23,20110.0
147_2,1,18,14028.0
148_2,2,15,13756.0
149_2,4,13,17920.0
150_2,2,18,7580.0
151_2,1,24,17680.0
152_2,8,13,13198.0
153_2,3,14,9510.0
154_2,4,15,16410.0
155_2,4,20,16851.0
156_2,14,12,12750.0
157_2,3,18,12250.0
158_2,3,14,9744.0
159_2,2,14,26193.0
160_2,4,10,16020.0
161_2,7,24,11724.0
162_2,1,13,16150.0
163_2,2,21,14630.0
164_2,2,16,10904.0
165_2,1,18,7180.0
166_2,6,19,8010.0
167_2,2,14,11911.0
168_2,1,13,12234.0
169_2,2,18,11894.0
170_2,7,9,16144.0
171_2,9,18,15307.0
172_2,5,30,20634.0
173_2,14,22,13560.0
174_2,3,16,20210.0
175_2,5,16,6270.0
176_2,5,15,12422.0
177_2,3,18,12799.0
178_2,10,17,8890.0
179_2,5,17,9430.0
180_2,2,18,12465.0
181_2,8,31,19701.0
182_2,2,25,14420.0
183_2,2,23,13648.0
184_2,3,16,11349.0
185_2,9,14,9140.0
186_2,1,17,9300.0
187_2,3,10,16820.0
188_2,2,13,23259.0
189_2,2,21,6090.0
190_2,2,29,13620.0
191_2,6,18,7680.0
192_2,4,17,11230.0
193_2,4,14,9630.0
194_2,2,14,14260.0
195_2,2,23,6110.0
196_2,2,14,9890.0
197_2,1,12,17735.0
198_2,19,13,10370.0
199_2,3,18,11160.0
200_2,3,21,12950.0
201_2,13,30,19006.0
202_2,4,16,7870.0
203_2,2,23,7630.0
204_2,4,4,23253.0
205_2,2,27,21990.0
206_2,3,25,13820.0
207_2,1,17,11540.0
208_2,1,31,8280.0
209_2,4,11,12655.0
210_2,2,15,10300.0
211_2,1,15,8450.0
212_2,6,10,13717.0
213_2,12,11,12929.0
214_2,7,13,11627.0
215_2,2,20,7330.0
216_2,3,37,6240.0
217_2,11,15,9987.0
218_2,8,15,7896.0
219_2,6,7,18630.0
220_2,6,14,11000.0
221_2,9,10,14030.0
222_2,5,13,26780.0
223_2,6,17,19974.0
224_2,3,16,17380.0
225_2,4,12,14422.0
226_2,1,20,10016.0
227_2,2,26,18440.0
228_2,2,9,15820.0
229_2,2,34,8751.0
230_2,6,10,19990.0
231_2,2,11,12530.0
232_2,3,13,13394.0
233_2,4,17,16189.0
234_2,12,21,16040.0
235_2,18,10,14780.0
236_2,5,19,15740.0
237_2,1,23,14330.0
238_2,4,33,17581.0
239_2,5,15,8640.0
240_2,5,36,9840.0
241_2,2,23,9980.0
242_2,4,22,21006.0
243_2,11,18,4760.0
244_2,8,22,21351.0
245_2,4,16,13795.0
246_2,1,21,11230.0
247_2,1,12,11390.0
248_2,2,16,11160.0
249_2,9,18,11490.0
250_2,4,27,4210.0
251_2,2,17,12550.0
252_2,16,25,8380.0
253_2,3,20,13369.0
254_2,8,14,12961.0
255_2,2,19,2850.0
256_2,2,19,20462.0
257_2,5,19,12938.0
258_2,1,34,19173.0
259_2,1,15,10520.0
260_2,6,16,10760.0
261_2,5,17,12336.0
262_2,3,7,17810.0
263_2,2,22,13310.0
264_2,2,14,22990.0
265_2,8,28,14795.0
266_2,4,15,7989.0
267_2,1,31,20114.0
268_2,6,16,13177.0
269_2,1,19,5700.0
270_2,1,26,11440.0
271_2,2,14,12440.0
272_2,1,15,12970.0
273_2,15,18,10895.0
274_2,20,13,12230.0
275_2,3,24,15870.0
276_2,3,18,18237.0
277_2,1,26,17260.0
278_2,5,14,9730.0
279_2,2,13,17396.0
280_2,6,13,11320.0
281_2,1,20,17006.0
282_2,6,25,15636.0
283_2,8,16,11820.0
284_2,4,16,15156.0
285_2,6,15,17979.0
286_2,2,12,15190.0
287_2,2,29,10100.0
288_2,1,29,19540.0
289_2,2,9,19656.0
290_2,1,16,9870.0
291_2,2,19,14090.0
292_2,2,25,12602.0
293_2,4,12,14028.0
294_2,10,25,16716.0
295_2,11,17,16160.0
296_2,5,18,8310.0
297_2,9,13,10715.0
298_2,2,14,19627.0
299_2,3,6,19620.0
300_2,11,15,11500.0
301_2,1,17,10880.0
302_2,3,14,9695.0
303_2,8,11,15230.0
304_2,4,14,8650.0
305_2,4,15,12260.0
306_2,6,13,10339.0
307_2,3,17,14120.0
308_2,6,13,12389.0
309_2,2,16,11550.0
310_2,2,9,15920.0
311_2,3,19,10553.0
312_2,2,25,9830.0
313_2,1,16,7477.0
314_2,15,21,10020.0
315_2,6,17,10733.0
316_2,7,13,18621.0
317_2,1,25,5560.0
318_2,3,15,26370.0
319_2,3,19,6940.0
320_2,3,17,10850.0
321_2,3,15,8610.0
322_2,1,22,18804.0
323_2,4,22,12612.0
324_2,1,15,8520.0
325_2,2,11,19376.0
326_2,5,14,12680.0
327_2,10,10,14540.0
328_2,1,15,9260.0
329_2,18,12,12370.0
330_2,7,16,12548.0
331_2,4,16,21380.0
332_2,4,15,28775.0
333_2,1,15,9939.0
334_2,2,4,30000.0
335_2,2,16,10100.0
336_2,1,25,14284.0
337_2,4,9,20930.0
338_2,3,10,15025.0
339_2,6,14,9705.0
340_2,1,16,9320.0
341_2,2,19,8010.0
342_2,13,16,8091.0
343_2,7,14,19190.0
344_2,5,14,11837.0
345_2,14,15,11349.0
346_2,3,12,11352.0
347_2,3,14,21810.0
348_2,5,13,16297.0
349_2,2,10,14988.0
350_2,7,15,9101.0
351_2,3,20,16526.0
352_2,2,24,5460.0
353_2,12,12,11990.0
354_2,3,21,17270.0
355_2,5,23,9710.0
356_2,1,19,7245.0
357_2,2,18,14290.0
358_2,5,16,11159.0
359_2,2,11,13870.0
360_2,2,14,11054.0
361_2,10,14,9740.0
362_2,9,13,13750.0
363_2,5,8,16403.0
364_2,2,19,14876.0
365_2,8,17,33354.0
366_2,1,9,15610.0
367_2,6,17,9770.0
368_2,9,17,7920.0
369_2,2,15,12430.0
370_2,2,17,9510.0
371_2,2,14,10350.0
372_2,7,15,8000.0
373_2,3,14,9330.0
374_2,3,22,33297.0
375_2,5,14,10284.0
376_2,3,11,17330.0
377_2,6,4,30230.0
378_2,3,16,17881.0
379_2,1,47,23810.0
380_2,6,20,10340.0
381_2,4,17,18450.0
382_2,8,18,9018.0
383_2,1,22,12454.0
384_2,5,13,11590.0
385_2,1,25,13220.0
386_2,2,17,10103.0
387_2,2,32,24814.0
388_2,1,16,9361.0
389_2,1,30,6500.0
390_2,7,15,9376.0
391_2,1,21,10050.0
392_2,3,21,19230.0
393_2,4,23,30544.0
394_2,5,17,10120.0
395_2,8,16,7900.0
396_2,1,16,21370.0
397_2,7,14,10350.0
398_2,1,22,12229.0
399_2,2,16,10800.0
400_2,4,17,9725.0
401_2,3,18,11610.0
402_2,2,20,12280.0
403_2,1,18,3750.0
404_2,1,37,18310.0
405_2,1,10,14450.0
406_2,4,21,13503.0
407_2,4,11,17155.0
408_2,7,18,24614.0
409_2,2,11,14996.0
410_2,2,25,11404.0
411_2,4,19,12570.0
412_2,1,14,15080.0
413_2,10,25,3750.0
414_2,1,12,12393.0
415_2,1,15,9660.0
416_2,1,25,15000.0
417_2,5,14,11160.0
418_2,3,23,9330.0
419_2,1,27,12876.0
420_2,6,14,10138.0
421_2,2,14,9141.0
422_2,3,23,11850.0
423_2,3,15,12670.0
424_2,1,12,14500.0
425_2,1,14,9849.0
426_2,5,14,13003.0
427_2,2,22,16250.0
428_2,1,16,10705.0
429_2,2,22,9290.0
430_2,11,36,7330.0
431_2,7,14,10090.0
432_2,2,27,13026.0
433_2,8,15,12960.0
434_2,5,12,14830.0
435_2,1,17,8732.0
436_2,2,14,8680.0
437_2,3,13,27413.0
438_2,1,18,6450.0
439_2,1,14,11717.0
440_2,3,10,13825.0
441_2,1,44,8926.0
442_2,2,19,14970.0
443_2,3,11,19259.0
444_2,2,16,8270.0
445_2,7,18,8910.0
446_2,4,15,8800.0
447_2,2,20,9766.0
448_2,5,15,16857.0
449_2,2,15,17578.0
450_2,14,20,10420.0
451_2,11,15,8857.0
452_2,3,17,16073.0
453_2,22,16,12090.0
454_2,2,21,23518.0
455_2,1,14,14080.0
456_2,1,17,17740.0
457_2,1,19,14610.0
458_2,1,18,19640.0
459_2,3,11,14739.0
460_2,7,18,10877.0
461_2,2,28,15590.0
462_2,3,13,13620.0
463_2,1,14,9260.0
464_2,8,12,11410.0
465_2,2,19,12340.0
466_2,2,17,9904.0
467_2,6,11,25407.0
468_2,1,25,13772.0
469_2,3,14,13400.0
470_2,3,15,8919.0
471_2,2,34,11210.0
472_2,2,12,11610.0
473_2,16,13,10964.0
474_2,3,23,9076.0
475_2,1,19,10769.0
476_2,5,25,14580.0
477_2,1,14,8821.0
478_2,3,18,9616.0
479_2,6,33,20834.0
480_2,20,22,8580.0
481_2,2,14,10839.0
482_2,2,19,13740.0
483_2,1,25,14170.0
484_2,3,16,10293.0
485_2,21,13,10670.0
486_2,1,25,18824.0
487_2,3,23,16965.0
488_2,4,10,14252.0
489_2,1,20,7250.0
490_2,2,28,18720.0
491_2,2,21,17790.0
492_2,3,13,10250.0
493_2,8,17,12060.0
494_2,1,52,27248.0
495_2,3,36,43223.0
496_2,4,12,27220.0
497_2,3,20,17568.0
498_2,28,17,11370.0
499_2,3,10,16094.0
500_2,2,18,10208.0
501_2,3,20,13478.0
502_2,3,17,19907.0
503_2,1,17,13300.0
504_2,2,15,10029.0
505_2,1,21,16680.0
506_2,1,17,10640.0
507_2,3,14,10883.0
508_2,3,19,17710.0
509_2,3,13,12200.0
510_2,2,20,7390.0
511_2,2,21,10471.0
512_2,5,20,27900.0
513_2,8,13,14847.0
514_2,3,16,14360.0
515_2,3,18,16685.0
516_2,4,13,17316.0
517_2,6,15,10599.0
518_2,9,14,11641.0
519_2,2,14,11294.0
520_2,6,17,8306.0
521_2,5,13,11982.0
522_2,4,14,10990.0
523_2,2,18,24840.0
524_2,2,17,6190.0
525_2,2,14,12190.0
526_2,5,20,11422.0
527_2,2,15,9450.0
528_2,1,20,12532.0
529_2,3,22,15450.0
530_2,4,16,9730.0
531_2,1,20,13909.0
532_2,4,15,13960.0
533_2,3,16,12940.0
534_2,1,13,10127.0
535_2,4,12,13380.0
536_2,2,19,11262.0
537_2,1,25,24620.0
538_2,11,11,13359.0
539_2,3,22,9010.0
540_2,3,28,15276.0
541_2,19,19,14340.0
542_2,2,22,16540.0
543_2,1,16,13377.0
544_2,4,15,13302.0
545_2,8,15,11848.0
546_2,1,26,22977.0
547_2,2,17,7890.0
548_2,2,36,15670.0
549_2,5,13,12710.0
550_2,5,17,6890.0
551_2,3,14,10636.0
552_2,1,29,5070.0
553_2,7,28,14458.0
554_2,1,13,9959.0
555_2,4,22,23634.0
556_2,2,27,18830.0
557_2,8,15,11915.0
558_2,2,23,19736.0
559_2,1,35,27220.0
560_2,2,14,17060.0
561_2,2,10,17728.0
562_2,5,17,17504.0
563_2,2,17,17520.0
564_2,1,36,16390.0
565_2,1,22,10730.0
566_2,4,15,10395.0
567_2,2,26,17220.0
568_2,3,9,18228.0
569_2,1,14,13580.0
570_2,6,10,14760.0
571_2,7,14,10408.0
572_2,11,17,24751.0
573_2,3,12,12980.0
574_2,1,32,34450.0
575_2,2,10,20410.0
576_2,1,22,14540.0
577_2,10,33,4950.0
578_2,2,14,15680.0
579_2,5,16,13051.0
580_2,4,11,15340.0
581_2,2,24,22342.0
582_2,2,14,9750.0
583_2,2,23,15138.0
584_2,1,14,9523.0
585_2,5,13,11518.0
586_2,5,18,14158.0
587_2,3,16,9780.0
588_2,7,13,28723.0
589_2,2,15,11700.0
590_2,3,14,38450.0
591_2,2,26,13399.0
592_2,2,12,12586.0
593_2,2,39,20875.0
594_2,1,19,11200.0
595_2,2,19,11735.0
596_2,2,36,33980.0
597_2,6,12,11450.0
598_2,7,7,20961.0
599_2,1,15,12050.0
600_2,4,18,7640.0
601_2,2,17,7790.0
602_2,4,13,18900.0
603_2,18,13,19235.0
604_2,2,28,9826.0
605_2,4,18,11859.0
606_2,2,24,21520.0
607_2,2,27,16840.0
608_2,3,15,10096.0
609_2,1,30,10010.0
610_2,2,18,10449.0
611_2,15,33,8370.0
612_2,4,25,16056.0
613_2,3,16,16153.0
614_2,1,12,17420.0
615_2,3,14,11970.0
616_2,5,33,22438.0
617_2,6,16,9374.0
618_2,1,18,10562.0
619_2,2,15,9530.0
620_2,16,20,9210.0
621_2,2,11,14400.0
622_2,3,21,12490.0
623_2,2,17,10973.0
624_2,8,18,7030.0
625_2,13,16,8830.0
626_2,2,14,15500.0
627_2,1,19,11320.0
628_2,9,15,11299.0
629_2,1,21,12585.0
630_2,2,21,12720.0
631_2,8,20,10720.0
632_2,2,34,21797.0
633_2,2,17,15060.0
634_2,1,14,14191.0
635_2,3,33,21115.0
636_2,1,16,10357.0
637_2,3,9,19304.0
638_2,2,17,9782.0
639_2,4,15,9181.0
640_2,1,25,12420.0
641_2,1,14,15990.0
642_2,1,20,11970.0
643_2,3,19,6210.0
644_2,2,31,26292.0
645_2,2,19,12560.0
646_2,1,12,13400.0
647_2,1,55,21294.0
648_2,2,18,10471.0
649_2,3,19,7980.0
650_2,1,20,11240.0
651_2,2,19,17701.0
652_2,2,24,16796.0
653_2,9,18,14120.0
654_2,3,15,14504.0
655_2,2,15,17360.0
656_2,5,15,10800.0
657_2,5,22,12000.0
658_2,2,64,28127.0
659_2,2,23,5520.0
660_2,6,14,10030.0
661_2,4,17,6490.0
662_2,5,18,10163.0
663_2,2,18,10180.0
664_2,2,21,12620.0
665_2,2,34,10160.0
666_2,2,13,9849.0
667_2,2,15,13506.0
668_2,2,18,8500.0
669_2,2,33,20338.0
670_2,1,15,11005.0
671_2,6,31,20020.0
672_2,5,14,8680.0
673_2,1,13,12486.0
674_2,2,18,8522.0
675_2,3,32,18540.0
676_2,6,13,19201.0
677_2,4,11,12480.0
678_2,1,17,11030.0
679_2,2,16,8700.0
680_2,2,17,7860.0
681_2,5,10,15536.0
682_2,2,19,12426.0
683_2,2,25,13770.0
684_2,2,21,6700.0
685_2,2,24,14820.0
686_2,1,16,12350.0
687_2,20,14,14204.0
688_2,7,16,11419.0
689_2,4,22,22212.0
690_2,3,15,9300.0
691_2,1,14,14405.0
692_2,5,14,9040.0
693_2,2,16,12020.0
694_2,2,19,17251.0
695_2,3,11,13350.0
696_2,3,16,11670.0
697_2,1,19,7850.0
698_2,2,17,11480.0
699_2,3,19,11840.0
700_2,2,18,7510.0
701_2,5,14,10930.0
702_2,1,21,9030.0
703_2,3,18,10454.0
704_2,3,16,7582.0
705_2,1,13,18824.0
706_2,2,23,10474.0
707_2,5,15,21930.0
708_2,2,30,9820.0
709_2,3,15,10805.0
710_2,2,19,6700.0
711_2,2,15,12586.0
712_2,6,13,13537.0
713_2,1,16,10393.0
714_2,8,10,18300.0
715_2,1,41,39100.0
716_2,6,13,10330.0
717_2,15,17,11454.0
718_2,8,11,13041.0
719_2,2,15,8870.0
720_2,3,36,31800.0
721_2,7,24,20830.0
722_2,2,10,20604.0
723_2,3,14,8850.0
724_2,2,18,9020.0
725_2,5,14,8750.0
726_2,1,20,15590.0
727_2,1,18,9030.0
728_2,2,18,11350.0
729_2,4,17,14072.0
730_2,1,22,16999.0
731_2,6,21,15230.0
732_2,2,11,15220.0
733_2,3,14,11830.0
734_2,5,15,10873.0
735_2,4,12,15424.0
736_2,1,23,17230.0
737_2,7,4,26440.0
738_2,6,36,19661.0
739_2,10,24,20994.0
740_2,6,11,14870.0
741_2,3,19,18385.0
742_2,11,11,16042.0
743_2,5,11,17461.0
744_2,2,15,7430.0
745_2,7,24,31280.0
746_2,2,28,10850.0
747_2,1,15,10350.0
748_2,7,16,9160.0
749_2,1,45,8620.0
750_2,5,13,17045.0
751_2,1,15,8900.0
752_2,4,15,9107.0
753_2,4,20,12180.0
754_2,4,20,14056.0
